Date,Pos/Neg,Tweet
2021-08-30 21:38:25+00:00,0,@3zmI3NDqV9KZIcW 김연아 언니의 배꼽 가득 자위 저어주세요 https://t.co/PmXlcAwWMK
2021-08-30 20:53:29+00:00,1,김연아는 3Lz-3T점프를 첫랜딩 한 대회는 주니어 그랑프리 시리즈 소피아컵이였습니다.이때 앞점프였던 3F-3T에서 실수를 범해서 즉흥적으로 넣게되었습니다
2021-08-30 20:43:12+00:00,1,"Good morning☀️🎶my Yu-na Kim💖💓😇
I love you💕my Yu-na💝
제가 김연아와 꼭 결혼하겠어요 그리고 서울에서 김연아와 행복하게 살겠어요!!💒💘🇰🇷
오늘도 아자👍🏻파이팅💪🏻❤️
٩(^‿^)۶ https://t.co/TJbL7D4nCJ"
2021-08-30 20:17:53+00:00,0,"중국 피겨 유망주 리지준, ""중국의 김연아가 되겠다"""
2021-08-30 16:55:46+00:00,1,@emptyf54 헐 김연아도 햇나요 진짜 취향 올곧다
2021-08-30 16:54:38+00:00,1,"디올 ㅈㄴ잘뽑음
김연아 지수 수지
미쳤음 그냥 https://t.co/xz6g1OF185"
2021-08-30 14:32:27+00:00,1,"[Y패션] 지수VS김연아, 2천만 원 디올 드레스 입고 상반된 매력 과시 | 다음뉴스 https://t.co/zUT67i1OMy 
JISOO 블랙핑크 지수 아시아의 잇걸 
블랙핑크 지수 패션 아이콘
#블랙핑크  #지수 #JISOO #블랙핑크지수
@BLACKPINK"
2021-08-30 14:09:19+00:00,0,"대표작들 꼽아보면 림스키-코르사코프는 &lt;왕벌의 비행&gt;. 근데 나는 이것보다는 &lt;세헤라자데&gt;를 더 좋아한다. 김연아의 2009년 세계피겨선수권 프리 무대 선정곡이기도 했다. 
https://t.co/iMxnO10QFG"
2021-08-30 13:46:10+00:00,0,"저때도 박지성을 아냐, 김연아를 아냐, 물어 봤을라나. &gt;RT"
2021-08-30 13:13:58+00:00,1,"개인적인 문특 인터뷰이 꿈같은 소취 리스트 맨 꼭대기엔 김연아 선수가 있음.. 여정쌤 인터뷰때 처음 언급돼서 머리에 불꽃이 일어남 찾아보니 재재랑 동년배에 생일도 비슷하고(?이건 별 상관이 없긴 하지만 신기하니까) 여튼간에 언젠가 꼭 어떤 경로로든 만날 수 있었으면,,"
2021-08-30 13:08:19+00:00,0,쥐박이 학교가 오죽 하겠냐? 김연아 아니였으면… https://t.co/2TJKgI1yC4
2021-08-30 13:05:02+00:00,1,"오늘도 good night blessing✨🙏😇my Yu-na💓🎶
제가 김연아와 꼭 결혼하겠어요 그리고 서울에서 김연아와 행복하게 살겠어요!!💒💖🇰🇷 https://t.co/kaGnylIUlt"
2021-08-30 12:59:19+00:00,1,김연아 뺨은못치지만 암튼 수준급의 피겨 기술을 자랑하는 파이를 관람중
2021-08-30 12:51:31+00:00,1,운동선수들 근육은 뭘까...김연아 선수도 말랐는데 코어 장난없던데... https://t.co/kZrP7jTrEd
2021-08-30 12:50:08+00:00,1,@smur_0106 김연아
2021-08-30 12:42:24+00:00,1,"#YunaKim #김연아
저장 Photo ....... https://t.co/gGmhdOEt1o"
2021-08-30 12:23:32+00:00,0,@Lutein_9 케로님 말씀 들으니 김연아선가 운동할때 무슨 생각하냐는 질문에 무슨 생각을 해 그냥 하는거지 했던 명언이 생각 나네요🤔 제가 너무 게으른건지 움직이기까지 너무 오래 걸리는 것 같아서 뭔가 자책하게 되고 그래가지고 질문을 던저 보았습니다🥲 좋은 말씀 참고하겠습니다 감사합니다☺
2021-08-30 12:18:28+00:00,1,"'중국의 김연아' 리지준, ""김연아 언니처럼 되고 싶어요"""
2021-08-30 12:00:02+00:00,1,"어라..? 피겨퀸 김연아의 '달라진 얼굴'에 댓글이 폭주하고 있습니다 (사진)
https://t.co/yJ60kTz6zl"
2021-08-30 11:41:25+00:00,0,이 사건에도 동계올림픽에서 다수의 금메달을 획득한 순수 한인(韓人) 성씨의 김동성 선수를 악성이미지로 이미지메이킹 하는 사건이 함께 있었고 김연아는 극친삼성인사로 올댓스포츠 운영과 관련하여 중국삼성과 모종의 관계가 있었는지 체크해야하고 그래서 박근혜와 대면대면했는지 체크해야합니다
2021-08-30 10:53:29+00:00,0,김연아는 3F-3T/3F-2T/3Lz-3T/3Lz-2T/3Lz-2T-2Lo/3S-2T/2A-3T/2A-2T-2Lo 컴비네이션점프를 구사할수 있습니다
2021-08-30 10:39:59+00:00,1,"24. 광해의 연인
중전 김연아X세자빈 유선우 https://t.co/M3YMp9l2if"
2021-08-30 10:24:49+00:00,1,"조금 돌아가더라도, 조금 늦더라도, 내가 가고자하는 길을 끝까지 가보는 것, 그리고 그 끝에서 마침내 그토록 꿈꾸던 일을 이루는 것, 그것이 진짜 성공일 것이다. - 김연아, 김연아의 7분드라마 -"
2021-08-30 09:19:31+00:00,1,@Olympic @Yunaaaa 김연아. 연아! 연아! 희망을 깨우다.
2021-08-30 09:09:48+00:00,1,"슬의 결정러 떡밥 기근 시기
추천 영상 2

마침 올림픽 공식 트위터에서
Queen Yuna 영상을 올리기도 했고
그녀의 수많은 레전드 프로그램 중 하나이며 나의 Favorite
2013 월드 프리 스케이팅 프로그램  
레 미제라블 Les Misérables

https://t.co/K8yyg1zhaI

#김연아 #YunaKim https://t.co/w8oqUUTFD1"
2021-08-30 08:53:33+00:00,1,김연아는 트리플 5종점프를 구사할수 있습니다
2021-08-30 08:18:29+00:00,1,"중국 언론 ""리쯔쥔, 김연아 이을 새 피겨 여신"""
2021-08-30 07:53:37+00:00,1,김연아의 국제대회 첫메달은 트라글라브 트로피입니다 이메달은 한국피겨사상 국제대회첫메달입니다
2021-08-30 07:40:59+00:00,0,"2021/08/30
#YunaKim #김연아 
CJ 이너비 Innerb 

https://t.co/0ThwKC7iJY https://t.co/lDPE0w5ylv"
2021-08-30 06:37:34+00:00,1,역대급 비주얼 자랑한 '인간 디올' 김연아 근황 | 콘텐츠뷰 https://t.co/kNslUv4kpX
2021-08-30 06:04:05+00:00,1,"2021-22 ISU 주니어 그랑프리 1차, 2차 대회대한민국 연속 메달 획득 https://t.co/aO2a2ehAhZ 
#피겨 #주니어 #그랑프리 #임해나 #예콴 #김채연 #지서연 #김연아 #박연정 #차영현 #이재근 https://t.co/jmtgv2gWXE"
2021-08-30 05:58:39+00:00,0,김연아 디올 찢엇네
