Date,Pos/Neg,Tweet
2021-08-30 23:14:47+00:00,0,"이적 가능성을 알렸다 - 보르도 떠날 예정 - 
이런 거 말고 정확한 구단을 알려줘…"
2021-08-30 23:13:48+00:00,0,"＂황의조, 보르도 떠난다…192억 이적 승인＂ (프랑스매체) (출처 : 스포티비뉴스 | 네이버 스포츠) https://t.co/1OPTrL6TUd

sbs 황의조땜에 리그앙 계약권 땄는데 메시 이적해서 떡상하고 정작 황의조는 타 리그 이적 유력ㅋㅋㅋㅋㅋㅋㅋ"
2021-08-30 20:22:42+00:00,1,"""황의조, 보르도 떠난다…192억 이적 승인"" (프랑스매체)

-+ 황의조가 유럽진출을 하게 된 동기가 j리그를 통해서이기 때문에 황의조는 사우스햄프턴에 이적할 것을 예상합니다.

실제로 해외에서 뛰고 있는 선수중 손흥민 다음으로 기대하는 선수입니다.

100% 개인적 의견임."
2021-08-30 20:07:48+00:00,1,오나홀 명기시리즈 세븐틴보르도 에볼루션 오나홀https://t.co/H0tZDs5BGR
2021-08-30 17:25:25+00:00,0,"""황의조, 보르도 떠난다…192억 이적 승인"" (프랑스매체) (출처 : 스포티비뉴스) https://t.co/lRw1LmEW5l"
2021-08-30 16:45:45+00:00,1,근데 보르도 다 떠나네 다들 잘가여...
2021-08-30 16:07:08+00:00,0,"""황의조, 보르도 떠난다..192억 이적 승인"" (프랑스매체) | 다음뉴스 https://t.co/IoCid4dk5C"
2021-08-30 16:04:23+00:00,1,아싸 보르도 탈출 ㅋㅋㅅㅋ! 성공!!
2021-08-30 15:57:14+00:00,0,하나 확실한건 보르도 재수없음
2021-08-30 14:52:16+00:00,1,의조가 원한다자나 보르도야 제발 마르세유 보내줘 https://t.co/iCytVJl2ry
2021-08-30 14:32:18+00:00,1,의조 처음 보르도 왔을 때 200만 유로였는데 7배나 높아졌네ㅠㅠㅠㅠ
2021-08-30 14:23:04+00:00,1,일단 보르도 뜬다는 말
2021-08-30 14:06:33+00:00,1,@uijofan 보르도 떠날 거예요 떠난다고요
2021-08-30 11:04:36+00:00,1,@pickleforstony 이게 말이야 방구야ㅋㅋㅋㅋㅋ 위쳐존잼이라고 추천햇던게 언젠데 그리고 똑같은 일이 반복되지 않게 제가 레데리도 추천드리고 잇자나요;;진심 게롤트랑 아서 둘다 존맛인디.. 아서도 살카즘 쩔고 처연한 (외모가) 중년인디 (사실청년이지만에이보르도그렇잖여) 하 제 인장도 게롤트라고
2021-08-30 10:52:07+00:00,1,오나홀 명기시리즈 세븐틴보르도 에볼루션 오나홀https://t.co/H0tZDs5BGR
2021-08-30 06:36:10+00:00,0,보르도 때매 탈모 오겠어 의조 이적 어디쯤이니
2021-08-30 05:38:30+00:00,0,"거울보고 다크써클 때문에 깜놀했네
당연함 요새 스트레스때문에 잠도 잘 못잠
그렇다고 보르도야🤨"
2021-08-30 04:02:09+00:00,1,파리 리옹 뚜르 마르세유 베르사유 루앙 낭트 보르도 랭스 트루아
2021-08-30 03:31:20+00:00,1,@hwanguijo______ 스바ㅠㅠㅠㅠㅠㅠㅠ 아니 그래요 보르도 사정 안 좋은 건 알고 진짜 충분히 아주 이해가 되는데 분데스 이피엘 놓친 건 진짜… 진짜 화가 납니다…… 담 이적 시장 때 기대해도 될까요……… https://t.co/kBAMVqd6UP
2021-08-30 02:34:07+00:00,1,"@OhmyNews_Korea 안타깝네 이강인 , 마요르카에서 홧팅을  기대합니다. 기대주 황의조도 보르도에서 날개를 못피고 있어 갠적으로 맘이 아픕니다."
2021-08-30 00:21:41+00:00,0,"중국도 만만한 게 연예인 때려잡기. 
조미는 사전에 낌새가 있었나 전세기로 보르도로 도피했다네. 이러니 돈 벌면 다들 해외로 빼돌리려고 혈안이 되어 있지

https://t.co/tgDl1FnJPt"
2021-08-29 21:34:25+00:00,1,오나홀 명기시리즈 세븐틴보르도 에볼루션 오나홀https://t.co/H0tZDs5BGR
2021-08-29 14:55:22+00:00,0,"보르도… 우리 첫인상은 좋았자나ㅏ… 행복했자나ㅏ,…….. 잠이나 자야겠다"
2021-08-29 14:46:55+00:00,1,"@hwanguijo______ 아...못 보겠어요ㅠㅠ
제발 보내줘 보르도,,"
2021-08-29 14:39:07+00:00,1,협상 결렬되면.. 계속 보르도에서 뛰는 걸 봐야 하는 거임?ㅅㅂ
2021-08-29 14:17:22+00:00,1,"츠키히메 리메이크... 브르보인지 보르도인지 아무튼 첫 보스 격파함
막 이렇다할 최애 요소는 모르겠는데 그냥 스토리랑 캐릭터가 재밌다 
근데 보다보니 기억이 잘 안나는 공의 경계 다시보고 해야 더 재밌을 거 같아 (?)
소설판 호로록 다시 보고 츠키히메 이어서 할까...."
2021-08-29 13:59:51+00:00,1,보르도는 보낼 생각 1도 없는데 이적시장 마감 전날까지 희망 포기 못하는 내가 ㄹㅈㄷ
2021-08-29 13:46:57+00:00,0,진심 보르도 때문에 스트레스 받아서 요즘 돌아버릴지경임ㅠ
2021-08-29 13:17:52+00:00,0,"중국 유명배우 자오웨이(趙薇·조미)가 프랑스로 도피했다는 외신 보도가 나왔다.

29일(현지시각) 대만 언론 자유시보와 연합보 등은 자오웨이가 지난 27일 새벽 2시 20분께 프랑스 남부의 보르도 공항에 전세기를 타고 도착했다는 소식이 중국 소셜미디어 웨이보에 급속하게 퍼지고 있다고 보도했다."
2021-08-29 12:56:26+00:00,1,"프랑스 스포츠 전문 매체 ‘레퀴프’는 “마르세유 경영진은 아직 황의조 영입을 위한 제안을 유지하고 있다”라며 마르세유가 황의조를 포기하지 않았다고 보도했다.

보르도야 제발 부탁이야 보내ㅠㅠㅠㅠ"
2021-08-29 07:26:03+00:00,1,선발출전한 황의조의 풀타임 [🇫🇷리그1 HL 4R/ 니스 vs 보르도] https://t.co/Wuk5lA1e3u
2021-08-29 04:53:48+00:00,0,"해외파 축구선수 소속팀 이동상황

PL-손흥민(토트넘) 황희찬(울버햄턴)
라리가-이강인(마요로카)
분데스리가-정우영(프라이부르크)
                   이재성(마인츠05)
리그앙-황의조(보르도)
벨기에-신드 트라위던(이승우)"
2021-08-29 04:41:31+00:00,0,"이강인은 마요로카로 이적
황희찬은 울버햄턴으로 이적
보르도를 벗어날것으로 예상햇던
황의조는 잔류가능성이 높다"
2021-08-29 04:35:15+00:00,0,다른 선수들은 다 이적했거나 이적이 코앞인데 으조는.....으조는..... 아 진짜 보르도
2021-08-29 04:18:18+00:00,0,"늘늘쌍둥이 프리프리메이드 / 보르도 메이드 
입히는 상상 https://t.co/D1YTHf6bB0"
2021-08-29 03:53:53+00:00,1,오나홀 명기시리즈 세븐틴보르도 에볼루션 오나홀https://t.co/H0tZDs5BGR
2021-08-29 03:52:07+00:00,1,"[ END CLOTHING / 엔드] 덩크 로우 ""보르도 / 화이트"" 응모 발매확정 - 응모링크 포함 - Nike Dunk Low “SAIL, BEETROOT &amp; IVORY” DD1503-108 THE RAFFLE OPEN https://t.co/nSn5DzWIfK"
2021-08-29 03:19:44+00:00,0,보르도 때문에 넘 스트레스받는데 치료비 청구해도 되나요
2021-08-28 23:44:12+00:00,1,@Noah_grey__ (와인을 주문하고 조금 기다리자 잔과 와인 병이 놓여지고 잔에 따라진다) ... 마스까롱 보르도 화이트야.
2021-08-28 19:19:44+00:00,0,"35분 동안 믈룅 역사의 벤치에 앉아 기차를 기다리는 일도 따분하기 그지없었다. 거기서 그는 샌드위치와 과일, 보르도 포도주 한 병이 담긴 바구니를 하나 샀다."
2021-08-28 19:15:04+00:00,0,"그렇다면, 내가 조금 골라보겠네. (바에서 팔고 있는 술을 조금 둘러보다가 말한다.) 좋은 사람을 만나는 것 만큼이나 좋은 술을 접하는 것은 귀한 일이기도 하고... 와인은 어떤가? 1900년 보르도 산 레드와인이면 괜찮을 듯 한데. 아, 사는 건 내가 하니 걱정하진 말고."
2021-08-28 17:39:53+00:00,0,한동안 코코코드랑 보르도 젤 마니 썼는데 요즘은 슷쿠만 써
2021-08-28 17:07:32+00:00,0,보르도에서 경기 끝내고 바로 오는구나ㅠㅠ 의조 무사히 귀국하길
2021-08-28 16:44:04+00:00,0,"보르도 개박살나네ㅋㅋ
재정문제로 강등까지 갓다가 겨우
살아남앗는데 경기력은 1부수준 아니다
재정문제보다 실력차다
니스 원정서 4:0떡실신 당하는중"
