Date,Pos/Neg,Tweet
2021-08-30 23:32:08+00:00,1,"'이렇게 곧바로?'...바르사 RB 에메르송, 토트넘 이적 합의! '5년+410억' (출처 : 인터풋볼 | 네이버 스포츠) https://t.co/RRhjJ7kANb"
2021-08-30 22:46:59+00:00,0,@Spurs_KR 지금 연승중이라 토트넘팬들 행복하겠죠
2021-08-30 21:29:20+00:00,1,토트넘관련 사진이나 동영상 공유하실분은 토트넘봇으로 제보해주세요^^ 행쇼!
2021-08-30 21:22:39+00:00,1,토트넘 은 FA컵을 두 번째로 우승을 많이 차지한 팀 이다(8회) #THFC_K
2021-08-30 21:00:22+00:00,1,"그무엇보다 빠른 1순위 토트넘중계

클릭&gt; https://t.co/SoGxNGtGoX &lt;이동

#라이브스코어 #블랙티비 #킹콩티비
#김광현중계#세인트루이스중계
https://t.co/lH7XNW97ZJ"
2021-08-30 20:54:20+00:00,1,이번 에메르손의 영입은 스퍼스가 좀 더 공격적으로 나아가려는 방향성과 입장을 보이는것이라고 보는데 이게 어떻게 작용할지 지켜보는 재미가 있을듯 하다 수비적인 부분을 누누가 보완해준다면 토트넘 경기가 좀더 다채로워 질것이다
2021-08-30 17:59:08+00:00,1,"부창동 침뷰어 취소해 채포님 친잔소 촬영날 천경준 책보는 코엘료 터치펫 초자체 채영주 토트넘 키슬리 컵로고 컴퍼니 탁상기 카봇팩 초월자 청남골 천동골 치과몰 첸생일 찐빵꿈 크메르 청운로 최석환 최준서 토크쇼 청옥산 징수한 하면 FOLLOWBACK
BPLX"
2021-08-30 17:50:17+00:00,1,"영국하루 확진자만 4만이 넘는데
토트넘경기보니 마스크쓴 인간보기 어렵고
수만명이 다 들어가서 만석처럼보이네..
ㅜㅜ"
2021-08-30 17:34:33+00:00,1,토트넘 진짜 이적시장 막판까지 엄청 바쁘네 ㅋㅋㅋ
2021-08-30 17:33:21+00:00,0,토트넘 대 왓퍼드 | 동료 와 상대팀 모두 건드릴수 조차 없는 손흥민 승리골   |   코너킥 자리 에서 손흥민 유니폼 원하는  꼬마팬  ( 느린 화면 입니다)https://t.co/VN370cozs7 https://t.co/oVBVcQFGhR
