Date,Pos/Neg,Tweet
2021-08-31 16:54:36+00:00,1,"점점 막내형~ 
청소년 이강인φ(*⌒▽⌒)ﾉ💙 https://t.co/SsfZhwhyO6"
2021-08-31 16:36:40+00:00,1,@juamator 오대장의자랑이강인
2021-08-31 15:47:03+00:00,0,“최고 유망주 무상으로 내줬다” 이강인 이적에 발렌시아 팬들 대분노 https://t.co/eTLJXtg0L1
2021-08-31 15:17:22+00:00,1,@y0_0njaehyuk 이강인 뭐하냐
2021-08-31 14:41:52+00:00,1,이강인 마요르카와 4년 계약. 이강인선수 즉시 주전될까? https://t.co/P1gUvl2ddv
2021-08-31 14:20:38+00:00,0,"대표팀에서도 멀어졌던 이강인 새 출발, 치열한 주전 경쟁부터 시작 | 다음뉴스 https://t.co/ro5MqsL4V7"
2021-08-31 14:11:52+00:00,1,며칠 전 이강인을 영입한 라리가 구단 마요르카가 매튜 호페 영입을 위해 샬케와 접촉 중인 것으로 알려졌습니다.
2021-08-31 14:08:59+00:00,0,[방구석토크] 마요르카가 이강인을 영입한 이유는? 또한 우려점은? https://t.co/2p03POcxh0 출처 @YouTube
2021-08-31 13:59:37+00:00,0,이강인 꽈당 ㅋㅋㅋ개겹다❤️ https://t.co/7OwUKUp0Jd
2021-08-31 13:38:19+00:00,1,"@RCD_Mallorca 이제 마요르카는 아시아의 이 두명의 샛별이 살려낼 거예요.^^ 이강인, 쿠보와 함께 바보스 마요르카!!"
2021-08-31 13:08:34+00:00,0,"이강인을 위한 마요르카 기초 일본어
""쿠보센빠이! 요네가이시네마스!!""
""소우까. 기미가... 이간닌데스까...?
와따시모 요네가이마시네데스네.""
""오스! 쿠보센빠이!! 와따시모 혼또니 플레이와 헌신데스!""
""아아, 기대시마스 자아, 죠또 스미마셍네""
""하잇 쿠보센빠이!"" 스페인에서 일본어공부하기"
2021-08-31 13:06:42+00:00,1,"1⃣9⃣ 이강인🌟

멋진 도전 퐈이팅!!!!! https://t.co/4D3ryfqAp3"
2021-08-31 12:37:42+00:00,1,이번시즌에 좋은성적 만들었으면 좋겠습니다. 다만 이강인이 쿠보후배가 됐네요. 고생점 해라...
2021-08-31 12:37:21+00:00,1,"발렌시아 떠나는 이방인, 마요르카와 4년 계약
출처 : 국민일보 | 네이버 스포츠
 - https://t.co/NGO9h1guYz

이방인이 된 이강인"
2021-08-31 12:36:44+00:00,1,이강인은 쿠보에게 열심히 키패스를 찔러줘야 할 것 같습니다. 쿠보의 영향력이 마요로카에서 꽤 크거든요. 위계상 선배이기도 하고 그래도 아시아문화권이고 해외나가면 왜 그런지 모르겠는데 일본인하고 짝짝꿍이 정말 잘맞습니다. 서로서로 존중해가면서
2021-08-31 12:34:18+00:00,0,이강인선수가 마요로카로 갔네요... 후... 으으음...실제로 만나면 싸인해주세요란 말만 하겠지만... 언택트시대니까... 솔직하게 말할께요. 마요로카는 일본인들이 많이가는 휴양지입니다. 그것도 돈많은 일본인. 즉 마요로카로 관광 온 일본인들에게 라리가 관람은 아주 매력적인 상품이지요.
2021-08-31 12:12:48+00:00,0,이강인 선수 발렌시아에서 마요르카로 갔네 https://t.co/hCuCPsyGwD
2021-08-31 12:02:35+00:00,1,이강인이 마요르카에서 새 출발에 나선다 https://t.co/9UAQMC57h6
2021-08-31 11:54:39+00:00,1,@RCD_Mallorca 이강인 짱짱짱💙💙💙👍👍👍🇰🇷🇰🇷🇰🇷
2021-08-31 11:31:01+00:00,0,이강인 야무지게 계약서 작성하심 역시 ( ◠‿◠ ) https://t.co/hPBO3lhfsI
2021-08-31 11:30:24+00:00,1,"주요 서명은 그때 그때 싸인이네^^
멋지다~이강인🤩 https://t.co/9GOEp0hoeZ"
2021-08-31 11:25:32+00:00,1,"이강인 홧팅~!💪
https://t.co/C3Naf21B2u"
2021-08-31 11:19:25+00:00,1,아 미치겠다 이강인 사인하는 손도 예쁘고 셔츠입은것도 좋아
2021-08-31 11:04:08+00:00,1,저 진짜루...성사될줄 모르고 이강인 퇴사 후 학교 앞에 찾아가는 생각만 백 번 했었음...지금은 너무 달콤해요....
2021-08-31 10:09:27+00:00,0,"이강인 마요르카??

린가드는 레식 구단 인수??"
2021-08-31 09:37:33+00:00,0,이강인 쿠보도 같이 뛰는 마당에 토미야스가 별거냐?
2021-08-31 09:21:59+00:00,1,"'마요르카 이적' 이강인, '고난 극복' 제2의 도약 '기대' | 다음 스포츠 https://t.co/MjouwhABX9"
2021-08-31 08:44:51+00:00,0,이강인 새 둥지 '마요르카fc'...어떤 팀? https://t.co/ewuONdoCte
2021-08-31 08:29:13+00:00,0,"#이강인 #발렌시아 #마요르카

‘한국 축구 기대주’ 이강인, 마요르카 이적료는 '0원'?
https://t.co/1vOcWFUM9t"
2021-08-31 07:24:40+00:00,1,“환영합니다. 이강인 선수! Bienvenido KANG IN LEE | RCD Mallorca https://t.co/sH8gGdBnih - @YouTube
2021-08-31 06:49:00+00:00,0,"발렌시아의 바보 같은 선택.. 137억원 가치 이강인 공짜로 방출 | 다음 스포츠 
인성을 발전시키고 능력을 최대한 발휘되어야https://t.co/AI8fFzAup2"
2021-08-31 06:43:08+00:00,1,@kangin_cf @Tottenham__Son7 덕분에 좋아요랑 댓글 달았어요 무슨 714개나... 이강인 힘내라악!!!
2021-08-31 06:41:32+00:00,0,발렌시아의 바보 같은 선택.. 137억원 가치 이강인 공짜로 방출 | 다음뉴스 https://t.co/TerGXNrQYc
2021-08-31 06:28:15+00:00,0,"오늘도 diariode mallorca 표지를 장식한 이강인🌟
이거 이거 유료 구독을 할 까?

https://t.co/K5J6NoJGCR https://t.co/O04PO3sVZe"
2021-08-31 06:25:32+00:00,0,발렌시아의 바보 같은 선택.. 137억원 가치 이강인 공짜로 방출 | 다음 스포츠 https://t.co/zKMU9hMEFi
2021-08-31 06:00:00+00:00,0,"""10년 키운 유망주인데"" 이강인과 작별에 분노한 팬들https://t.co/xAleENWnf3"
2021-08-31 05:19:38+00:00,1,이강인-황희찬의 새로운 출발을 응원한다 #이강인 #황희찬 https://t.co/zrknWMr9Xi 이준목 기자
2021-08-31 04:47:02+00:00,1,"이강인, 10년 활약한 발렌시아 떠나 '마요르카'와 4년 계약

#이강인 #축구선수 #마요르카 #이강인이적 

https://t.co/aplxayE7WH"
2021-08-31 04:29:52+00:00,1,"https://t.co/cZmoH6tJzA

8월31일 유럽축구 이적시장 소식(이강인, 마요르카와 4년계약/음바페 파리 잔류/황의조 보르도 떠날 수 있다) https://t.co/fpsHBJPjIZ"
2021-08-31 04:22:38+00:00,1,"[오피셜] 이강인, RCD 마요르카로 이적 https://t.co/YQ2eOjPyH4"
2021-08-31 02:47:22+00:00,1,야 강인아!!                                야 이강인!! https://t.co/xFIFgPYMIH
2021-08-31 02:41:42+00:00,0,아 피파하는데 이강인한테 골먹힘 https://t.co/FQTKnOFWzm
2021-08-31 02:40:57+00:00,1,"'마요르카 이적' 이강인, '고난 극복' 제2의 도약 '기대'

https://t.co/BMy4bAgxuj"
2021-08-31 02:32:51+00:00,1,"메시 같은 이강인 영상, 마요르카 높은 평가 반영 (출처 : MK스포츠  | 네이버 스포츠) https://t.co/J2yxbuoa6s https://t.co/EjV1UHMziI"
