Date,Pos/Neg,Tweet
2021-08-31 23:14:11+00:00,1,오픈욜마 수많은페이커 파트 지나가면 나도 모르게 내적 꿍디털기를 하게 됨 https://t.co/fENLaxszaj
2021-08-31 22:32:09+00:00,0,@cleartree_ 페이커 제드 영상을 보면 그사세구나...느낌
2021-08-31 21:13:39+00:00,1,너의 뜨거운 하트는 Dr.페이커에게 잘 전해주도록 하지.
2021-08-31 19:07:34+00:00,0,@iBloomu 킥캑이랑 페이커는 좋아한 적이 없습니다만
2021-08-31 18:34:00+00:00,0,"있잖아, 페이커는 결혼을 싫어할 것 같아!
매리는 안해도 괜찮아~"
2021-08-31 18:02:27+00:00,1,"[기획] 숫자를 통해 보는 '페이커' 이상혁 집중탐구
https://t.co/QWeM7igH6n https://t.co/0zM0Ct49AL"
2021-08-31 17:15:29+00:00,0,"@welcome__silver 아 페이커
아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 보자마자 후다닥 가져왔어요
불꺼줄게 테스... https://t.co/dKDDVjMAll"
2021-08-31 16:08:32+00:00,1,"저 완전 페이커에요
   ㄴ그게뭔데 씹덕아"
2021-08-31 15:22:35+00:00,1,"사실 티원이 페이커 존재감이 커서 그렇지 세대교체 가장 스무스하게 잘된 팀중에 하난데

유스풀이 워낙 좋다보니..."
2021-08-31 14:49:03+00:00,1,"페이커 들고있는거
레드카드임 (tmi"
2021-08-31 14:01:38+00:00,1,@skaldur 암전 페이커
2021-08-31 13:07:43+00:00,1,"이거너무귀엽다진 짜 진짜이거뭐냐?이거뭔데....니네뭐하는데....
페이커로치테디 손뻗고있는거귀여움 ;ㅅ; https://t.co/R82xGLkeCJ"
2021-08-31 12:41:44+00:00,1,@yoshikomakij 찾아 보니깐 페이커하고 허각 있네요ㅋㅋㅋ
2021-08-31 11:53:49+00:00,0,"페이커 선수말고 유일하게 응원하는 선수 두명이 테디 선수 그리고 에포트 선수인데 둘다 어딜가든 행복하면 좋겠다
그래도 웬만하면 상혁님이랑 손잡고 lpl가자..
상호군 이번시즌 수고하셨어요 :)

(결승간 팀도 선발전… 정규 8위한 팀도 선발전… 뭐 이딴 룰이 다있나) https://t.co/GagMJg9T8V"
2021-08-31 11:52:13+00:00,0,"Q. 페이커와 skt t1을 응원해준 팬들에게 한마디

FAKER : hi guys, i have so much to tell you but my English is not good so..
thank you for cheering and
ALWAYS LOVE ME https://t.co/UudmxhWvXO"
2021-08-31 11:49:09+00:00,1,@__y_0_7_0_8 우리도 페이커!!!칸나!! 좀 해죠라… 오늘 보니까 잘만 해주더만 우리 탑 티원 정글 티원 미드 티원이냐거여…
2021-08-31 11:46:47+00:00,1,@norang_OwO 진짜 페이커 무지개티 처음 봤을 때 심정이에요 지금; 저 파랑색 볼 때마다 이마 팍
2021-08-31 11:26:39+00:00,1,결론은 쇼메이커 페이커 모두 롤드컵 잘 다녀왔으면 좋겠다.
2021-08-31 11:26:30+00:00,0,@Ten_Dizzy 쇼쵸비페랑 좀 벽이 느껴질정도. 페이커는 대이니 나가고 다시 오더중 뇌절 늘어나니 빼야하나 싶긴 한데...
2021-08-31 11:24:51+00:00,0,같은 롤프로로써 더 잘하는 선수들도 우상으로 생각하고있는 페이커 비하하는 단어사용한걸 유튜브에 쳐올리는팀다운 경기력이었음
