Date,Pos/Neg,Tweet
2021-08-31 23:51:13+00:00,0,"'결국 잔류?' 황의조, 트레이드 상대의 이적 거부로 스포르팅 이적 무산
https://t.co/3G9H1QTilO"
2021-08-31 23:41:05+00:00,1,"보르도 황의조, 스포르팅 '이적 무산'으로 보르도 잔류 확정  https://t.co/fiXCwKgsBg"
2021-08-31 23:28:24+00:00,0,"[김남구의 유럽통신] “황의조, 스포르팅 이적 무산되며 보르도 잔류” (출처 : 스포탈코리아 | 네이버 스포츠) https://t.co/oWgT1TEtzv"
2021-08-31 22:02:18+00:00,0,이렇게 되면 황의조는 일단 프랑스에 박혀있어야 겠네
2021-08-31 16:35:24+00:00,0,[축구] [지롱댕포스] 황의조 이적 무산 https://t.co/QKkSVkiJ7u
2021-08-31 15:58:49+00:00,1,"지금 황의조 이적이 갈리는건 마르세유, 제니트 2파전인것 같네요 다만 마르세유는 재정에 어려움이 있다는 소식도 있으니 기사나온것도 그렇고 러시아가 무게를 두고 있을지도 모릅니다."
2021-08-31 15:44:52+00:00,1,@br_and__NEW__ 황의조 선수 좋아해!
2021-08-31 12:50:10+00:00,1,질수없댜 아스날 황의조 사자@
2021-08-31 12:46:16+00:00,1,황의조 아스날 와?
2021-08-31 11:48:01+00:00,1,최상의 시나리오 : 아스날 코리아 이적시장 방송중 황의조 영입확정 &amp; 인터뷰.
2021-08-31 10:47:23+00:00,1,아우아르 vs 비수마 그리고 황의조를 곁들인
2021-08-31 10:07:29+00:00,1,@iam_Zabduck 닭에도 조소현 선수 있어서 북런던도 되네요;; 요즘 한국 구너들이 돈 풀어서 황의조 데려오라는 게 괜히 나오는 게 아님ㅋㅋㅋ
2021-08-31 10:03:05+00:00,1,황의조 아스날 가능성이 있나요!?
2021-08-31 09:20:15+00:00,0,@dualphilymind 네ㅋㅋ황의조 오는거 아니면 지금 역병처럼 퍼진 아스날 때리기에 기름을 붓는 느낌이죠 국내에선..ㅋㅋ
2021-08-31 08:36:57+00:00,0,"[트랜스퍼.1st] '동료들 속속 이적' 황의조, 거취 결정까지 하루 남았다
https://t.co/M3xNj9qWiA"
2021-08-31 04:29:52+00:00,1,"https://t.co/cZmoH6tJzA

8월31일 유럽축구 이적시장 소식(이강인, 마요르카와 4년계약/음바페 파리 잔류/황의조 보르도 떠날 수 있다) https://t.co/fpsHBJPjIZ"
2021-08-31 03:45:07+00:00,1,카바니던 황의조던 누구던 좀 데리고 와라 좀 ㅋㅋㅋ
2021-08-31 03:28:15+00:00,1,"황의조가 제니트오면 좋은점

1. 프런트가 보르도놈들(이새끼들은 씹음)보다 영어대응 친절하게 잘해줘서 유니폼 직구할때 수월함
2. 아즈문 레버쿠젠썰에 주바 노쇠화되어서 공미인 예로힌이 개고생중 설령 레버쿠젠 안가더라도 공격뎁스 얇아서 기회는 꽤 많이 부여받을듯
3. 챔스감 조가 헬이지만"
